Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp","$ T_{vib, O_2} $ (nexaFoam)_Temp"
4.81e-07,11530.9,15211.6,11293.5
4.82e-07,11535.5,15184.5,11299.6
4.83e-07,11540.1,15157.5,11305.7
4.84e-07,11544.7,15130.8,11311.7
4.85e-07,11549.2,15104.2,11317.7
4.86e-07,11553.7,15077.8,11323.7
4.87e-07,11558.2,15051.7,11329.6
4.88e-07,11562.6,15025.6,11335.5
4.89e-07,11567.0,14999.8,11341.4
4.9e-07,11571.4,14974.2,11347.2
4.91e-07,11575.7,14948.8,11353.0
4.92e-07,11580.0,14923.5,11358.8
4.93e-07,11584.3,14898.4,11364.5
4.94e-07,11588.5,14873.5,11370.2
4.95e-07,11592.7,14848.8,11375.9
4.96e-07,11596.9,14824.3,11381.5
4.97e-07,11601.0,14800.0,11387.1
4.98e-07,11605.1,14775.8,11392.7
4.99e-07,11609.2,14751.8,11398.2
5e-07,11613.2,14728.0,11403.7
5.01e-07,11617.2,14704.4,11409.2
5.02e-07,11621.2,14680.9,11414.6
5.03e-07,11625.1,14657.7,11420.0
5.04e-07,11629.0,14634.6,11425.3
5.05e-07,11632.9,14611.6,11430.6
5.06e-07,11636.8,14588.9,11435.9
5.07e-07,11640.6,14566.3,11441.2
5.08e-07,11644.4,14543.9,11446.4
5.09e-07,11648.1,14521.7,11451.6
5.1e-07,11651.8,14499.6,11456.7
5.11e-07,11655.5,14477.7,11461.9
5.12e-07,11659.2,14456.0,11466.9
5.13e-07,11662.9,14434.5,11472.0
5.14e-07,11666.5,14413.1,11477.0
5.15e-07,11670.0,14391.9,11482.0
5.16e-07,11673.6,14370.8,11486.9
5.17e-07,11677.1,14349.9,11491.8
5.18e-07,11680.6,14329.2,11496.7
5.19e-07,11684.1,14308.7,11501.6
5.2e-07,11687.5,14288.3,11506.4
5.21e-07,11690.9,14268.0,11511.1
5.22e-07,11694.3,14248.0,11515.9
5.23e-07,11697.7,14228.1,11520.6
5.24e-07,11701.0,14208.3,11525.3
5.25e-07,11704.3,14188.7,11529.9
5.26e-07,11707.5,14169.3,11534.5
5.27e-07,11710.8,14150.0,11539.1
5.28e-07,11714.0,14130.9,11543.7
5.29e-07,11717.2,14111.9,11548.2
5.3e-07,11720.4,14093.1,11552.7
5.31e-07,11723.5,14074.4,11557.1
5.32e-07,11726.6,14055.9,11561.5
5.33e-07,11729.7,14037.6,11565.9
5.34e-07,11732.7,14019.3,11570.2
5.35e-07,11735.8,14001.3,11574.6
5.36e-07,11738.8,13983.4,11578.9
5.37e-07,11741.8,13965.6,11583.1
5.38e-07,11744.7,13948.0,11587.3
5.39e-07,11747.7,13930.5,11591.5
5.4e-07,11750.6,13913.2,11595.7
5.41e-07,11753.4,13896.0,11599.8
5.42e-07,11756.3,13879.0,11603.9
5.43e-07,11759.1,13862.1,11608.0
5.44e-07,11761.9,13845.3,11612.0
5.45e-07,11764.7,13828.7,11616.0
5.46e-07,11767.5,13812.2,11620.0
5.47e-07,11770.2,13795.9,11623.9
5.48e-07,11772.9,13779.7,11627.8
5.49e-07,11775.6,13763.6,11631.7
5.5e-07,11778.3,13747.7,11635.6
5.51e-07,11780.9,13731.9,11639.4
5.52e-07,11783.6,13716.2,11643.2
5.53e-07,11786.2,13700.7,11646.9
5.54e-07,11788.7,13685.3,11650.7
5.55e-07,11791.3,13670.0,11654.4
5.56e-07,11793.8,13654.9,11658.0
5.57e-07,11796.3,13639.9,11661.7
5.58e-07,11798.8,13625.0,11665.3
5.59e-07,11801.3,13610.3,11668.9
5.6e-07,11803.7,13595.6,11672.4
5.61e-07,11806.1,13581.1,11676.0
5.62e-07,11808.5,13566.8,11679.5
5.63e-07,11810.9,13552.5,11682.9
5.64e-07,11813.3,13538.4,11686.4
5.65e-07,11815.6,13524.4,11689.8
5.66e-07,11817.9,13510.5,11693.2
5.67e-07,11820.2,13496.8,11696.5
5.68e-07,11822.5,13483.1,11699.9
5.69e-07,11824.7,13469.6,11703.2
5.7e-07,11827.0,13456.2,11706.5
5.71e-07,11829.2,13442.9,11709.7
5.72e-07,11831.4,13429.8,11712.9
5.73e-07,11833.6,13416.7,11716.1
5.74e-07,11835.7,13403.8,11719.3
5.75e-07,11837.9,13391.0,11722.4
5.76e-07,11840.0,13378.3,11725.6
5.77e-07,11842.1,13365.7,11728.7
5.78e-07,11844.2,13353.2,11731.7
5.79e-07,11846.2,13340.8,11734.8
5.8e-07,11848.3,13328.6,11737.8
5.81e-07,11850.3,13316.4,11740.8
5.82e-07,11852.3,13304.4,11743.7
5.83e-07,11854.3,13292.4,11746.7
5.84e-07,11856.2,13280.6,11749.6
5.85e-07,11858.2,13268.9,11752.5
5.86e-07,11860.1,13257.3,11755.3
5.87e-07,11862.0,13245.7,11758.2
5.88e-07,11863.9,13234.3,11761.0
5.89e-07,11865.8,13223.0,11763.8
5.9e-07,11867.7,13211.8,11766.6
5.91e-07,11869.5,13200.7,11769.3
5.92e-07,11871.4,13189.7,11772.0
5.93e-07,11873.2,13178.8,11774.7
5.94e-07,11875.0,13168.0,11777.4
5.95e-07,11876.7,13157.3,11780.1
5.96e-07,11878.5,13146.7,11782.7
5.97e-07,11880.3,13136.2,11785.3
5.98e-07,11882.0,13125.7,11787.9
5.99e-07,11883.7,13115.4,11790.4
6e-07,11885.4,13105.2,11793.0
6.01e-07,11887.1,13095.1,11795.5
6.02e-07,11888.8,13085.0,11798.0
6.03e-07,11890.4,13075.1,11800.5
6.04e-07,11892.0,13065.2,11802.9
6.05e-07,11893.7,13055.4,11805.3
6.06e-07,11895.3,13045.7,11807.7
6.07e-07,11896.9,13036.2,11810.1
6.08e-07,11898.4,13026.6,11812.5
6.09e-07,11900.0,13017.2,11814.8
6.1e-07,11901.5,13007.9,11817.2
